,Num. Exp,Objeto Contrato,Organismo,Tipo de Contrato,Tipo Tramitación,Fecha Aprobación,Fecha Inicio,Importe,Causa/Justificación
0,"1/2014
", GESTIÓN INTEGRAL DEL CENTRO DE ACOGIDA E INSERCIÓN DE PERSONAS SIN HOGAR ,"ACCIÓN SOCIAL
","Gestión de Servicios públicos
","Abierto - Utilizando más de un criterio de adjudicación
",06/09/2016 ,"14/09/2016
","27.918,00
", Ampliación  de plazas de atención integral y cambio de paradigma en la atención y abordaje de la exclusión residencial grave 
1,"12/2014
"," REMODELACIÓN Y MEJORA DE LAS ÁREAS DE SERVICIO DE LA PLAYA DE SAN JUAN EN LA AVDA. DE NIZA, TRAMO ENTRE LA AVENIDA DE BRUSELAS Y CALLE IRLANDA ","TRÁFICO, TRANSPORTES Y COMUNICACIONES
","Obras
","Negociado sin publicidad
",03/05/2016 ,"11/05/2016
","
", Variaciones en diferentes unidades de obra contratada 
2,"10/2015
", REHABILITACIÓN DEL EDIFICIO DE LA ANTIGUA ESTACIÓN DE AUTOBUSES ,"TRÁFICO, TRANSPORTES Y COMUNICACIONES
","Obras
","Abierto - Utilizando más de un criterio de adjudicación
",02/02/2016 ,"17/02/2016
","
", por la necesidad de aprobar un proyecto modificado 
3,"10/2015
", REHABILITACIÓN DEL EDIFICIO DE LA ANTIGUA ESTACIÓN DE AUTOBUSES ,"TRÁFICO, TRANSPORTES Y COMUNICACIONES
","Obras
","Abierto - Utilizando más de un criterio de adjudicación
",31/05/2016 ,"01/06/2016
","
"," por la necesidad de aprobar un proyecto modificado que previamente ha de ser supervisado , en virtud del art. 125 del  TRLCSP "
4,"10/2015
", REHABILITACIÓN DEL EDIFICIO DE LA ANTIGUA ESTACIÓN DE AUTOBUSES ,"TRÁFICO, TRANSPORTES Y COMUNICACIONES
","Obras
","Abierto - Utilizando más de un criterio de adjudicación
",05/07/2016 ,"05/07/2016
","
", Modificación del proyecto 
5,"2/2015
", REFORMA Y ADECUACIÓN DE LA ANTIGUA CÁMARA DE COMERCIO PARA LA UBICACIÓN DE LAS DEPENDENCIAS MUNICIPALES ,"URBANISMO
","Obras
","Abierto - Utilizando un único criterio de adjudicación
",30/08/2016 ,"07/09/2016
","
", Modificación del proyecto 
6,"12/2015
", SUMINISTRO E INSTALACIÓN DE DOS EQUIPOS MULTIFUNCIÓN DE ALTAS PRESTACIONES PARA EL SERVICIO MUNICIPAL DE REPROGRAFIA DEL AYUNTAMIENTO DE ALICANTE ,"ECONOMÍA Y HACIENDA
","Suministros
","Abierto - Utilizando más de un criterio de adjudicación
",19/04/2016 ,"04/05/2016 267,44
","6.472,53
", Reorganización administrativa del ayuntamiento 
7,"21/2015
", REPARACIÓN ESTRUCTURAL DE LA PISCINA MONTE TOSSAL ,"ATENCIÓN URBANA
","Obras
","Negociado con publicidad
",07/03/2016 ,"17/03/2016
","
", Nuevas unidades de obra 
8,"21/2015
", REPARACIÓN ESTRUCTURAL DE LA PISCINA MONTE TOSSAL ,"ATENCIÓN URBANA
","Obras
","Negociado con publicidad
",07/03/2016 ,"17/03/2016
","
", Nuevas unidades de Obra 
9,"20/2015
", ACONDICIONAMIENTO DE CUBIERTA DE LA CASA CONSISTORIAL DE ALICANTE ,"ATENCIÓN URBANA
","Obras
","Negociado con publicidad
",21/11/2016 ,"28/11/2016
","
", 
10,"2/2016
", SERVICIO DE ASISTENCIA Y SALVAMENTO EN LAS PLAYAS DE ALICANTE ,"PATRONATO DE TURISMO
","Servicios
","Abierto - Utilizando más de un criterio de adjudicación
",26/07/2016 ,"04/08/2016
","9.662,10
"," Ampliación del ámbito de actuación, incluyendo la playa habilitada para perros, en la playa de Agua Amarga, hasta el  15/09/16 "
