,Num. Exp,Objeto Contrato,Organismo,Tipo de Contrato,Tipo Tramitación,Fecha Aprobación,Fecha Inicio,Importe,Causa/Justificación
0,33/19,Centro acogida e inserción personas sin hogar,SERVICIO DE CONTRATACIÓN,Servicios,Urgente,2021-03-30 00:00:00.0,2020-10-23 00:00:00.0,96444.49,Aumento de prestaciones objeto del contrato
1,108/19,Renovación y pavimentación de calzadas. 8 lotes.,"SERVICIO DE INFRAESTRUCTURAS, MANTENIMIENTO, PLAZA DE TOROS",Obras,Ordinario,2021-01-26 00:00:00.0,2020-12-23 00:00:00.0,0.0,"Se considera necesario introducir ligeras modificaciones en cuanto a la superficie a tratar, que no suponen incremento del presupuesto ni variación en el plazo de ejecución"
2,87/19,Obras Apertura público  cinco refugios antiaéreos,SERVICIO DE CULTURA,Obras,Ordinario,2021-01-26 00:00:00.0,2021-01-14 00:00:00.0,0.0,Circunstancias sobrevenidas durante la ejeución del contrato que han afectado a su desarrollo
3,116/19,Carnaval Adultos 2020-2021,SERVICIO DE FIESTAS Y OCUPACIÓN DE VÍA PÚBLICA,Servicios,Urgente,2021-02-02 00:00:00.0,2021-01-19 00:00:00.0,15125.0,COVID-19
4,115/19,Construccion nave industrial fase 1,"SERVICIO DE INFRAESTRUCTURAS, MANTENIMIENTO, PLAZA DE TOROS",Obras,Ordinario,2021-02-09 00:00:00.0,2021-01-20 00:00:00.0,0.0,"Durante la ejecución de las obras contempladas en el proyecto principal, la dirección facultativa consideró necesario introducir unas ligeras modificaciones, que se señalan en el informe justificativo del proyecto modificado."
5,75/19,Sábado Ramblero y Fiesta Fin Año 2020-2021,SERVICIO DE FIESTAS Y OCUPACIÓN DE VÍA PÚBLICA,Privado,Ordinario,2021-02-09 00:00:00.0,2021-01-21 00:00:00.0,0.0,"Medidas COVID-20. Prohibición de realizar eventos en el año 2021 como consecuencia del covid, por lo que se amplía plazo de ejecución contrato en un año ( lote A)"
6,110/19,Luminarias barrios y polígonos 3 Lotes,"SERVICIO DE INFRAESTRUCTURAS, MANTENIMIENTO, PLAZA DE TOROS",Suministros,Ordinario,2021-02-23 00:00:00.0,2021-01-26 00:00:00.0,0.0,"Como consecuencia de la situación excepcional de la ampliación de pedido y recepción de material en fecha, no hay garantía de recibir los materiales a tiempo, y se solicita ampliar el plazo hasta 20-02-2021"
7,81/19,Plan Local de Residuos y Proy Gestión Plan Zonal 9,SERVICIO DE LIMPIEZA Y RECOGIDA DE RESIDUOS,Servicios,Ordinario,2021-03-09 00:00:00.0,2021-02-15 00:00:00.0,0.0,Retrasos por obtención de documentación técnica y  por la crisis sanitaria
8,104/19,Vallados Semana Santa y Fogueres,SERVICIO DE CONTRATACIÓN,Suministros,Ordinario,2021-04-06 00:00:00.0,2021-03-09 00:00:00.0,0.0,Cancelación de las procesiones previstas durante la celebración de la Semana Santa 2021.
9,124/19,Reforma Finca Benisaudet,URBANISMO,Obras,Ordinario,2021-04-20 00:00:00.0,2021-03-22 00:00:00.0,0.0,Ampliación del plazo de ejecución inicial en dos (2) meses debido a circunstancias imprevisibles.
10,70/19,Actividades Prevención Conductas Adictivas ,SERVICIO DE EDUCACIÓN,Servicios,Ordinario,2021-05-04 00:00:00.0,2021-03-31 00:00:00.0,0.0,Restricciones derivadas del COVID-19
11,137/19,Mejora sistema viario C/ Padre Espla,URBANISMO,Obras,Ordinario,2021-04-13 00:00:00.0,2021-04-09 00:00:00.0,0.0,Circunstancias ajenas al contratista
12,112/19,Sistemas de climatización Fase I,"SERVICIO DE INFRAESTRUCTURAS, MANTENIMIENTO, PLAZA DE TOROS",Suministros,Ordinario,2021-04-06 00:00:00.0,2021-04-12 00:00:00.0,0.0,Solicitud del contratista de ampliación de plazo.
13,113/19,Sistemas climatización edif. municipales Fase II,"SERVICIO DE INFRAESTRUCTURAS, MANTENIMIENTO, PLAZA DE TOROS",Suministros,Ordinario,2021-04-06 00:00:00.0,2021-04-12 00:00:00.0,0.0,Solicitud de ampliación del plazo por parte del contratista informado favorablemente por el Responsable del Contrato.
14,117/19,Obras baluarte mina castillo Sta Barbara,SERVICIO DE CULTURA,Obras,Ordinario,2021-05-25 00:00:00.0,2021-04-20 00:00:00.0,56310.87,"CIRCUNSTANCIAS OBJETIVAS SOBREVENIDAS, NO PREVISIBLES, QUE DETERMINAN LA NECESIDAD DE ADECUACIÓN DEL PROYECTO"
15,135/19,Reurbanización calles en San Gabriel,URBANISMO,Obras,Ordinario,2021-05-25 00:00:00.0,2021-05-04 00:00:00.0,0.0,"Ampliación del plazo de ejecución, de dos (2) meses, debido a los retrasos en las operaciones de renovación de la red de agua potable por Aguas Municipalizadas de Alicante."
16,133/19,Reurbanización barrio Rabasa,URBANISMO,Obras,Ordinario,2021-06-08 00:00:00.0,2021-05-18 00:00:00.0,0.0,Ampliación del plazo de ejecución debido a circunstancias e imprevistos no imputables al contratista.
