,Num. Exp,Objeto Contrato,Organismo,Tipo de Contrato,Tipo Tramitación,Fecha Aprobación,Fecha Inicio,Importe,Causa/Justificación
0,Alc-cont 82/18,Desarrollo Cuadro Mando Policía,SERVICIO DE CONTRATACIÓN,Servicios,Ordinario,2019-07-23 00:00:00,2019-07-25,0.0,"Ampliación del plazo de ejecución del contrato en tres meses , a contar desde el día siguiente a la formalización contractual."
1,ALC-CONT-114/18,INSTALACIONES CIUDAD DEPORTIVA (IFS 2018) . Lote 1,"SERVICIO DE INFRAESTRUCTURAS, MANTENIMIENTO, PLAZA DE TOROS",Obras,Ordinario,2019-08-13 00:00:00,2019-08-06,0.0,Ampliación del plazo de ejecución del contrato en 28 días naturales.
2,ALC-CONT-112/18,Accesibilidad plaza Cruz Roja,URBANISMO,Obras,Ordinario,22-10-2019,2019-10-25,0.0,Ampliación del plazo de ejecución de las obras en 20 días naturales
3,ALC-CONT-116/18,INFRAESTRUCTURAS LIBRE-VERDE DEPORTIVAS (IFS 2018),"SERVICIO DE INFRAESTRUCTURAS, MANTENIMIENTO, PLAZA DE TOROS",Obras,Ordinario,2019-11-05 00:00:00,2019-11-25,0.0,Ampliación del plazo de ejecución del contrato hasta el 15/12/2019
4,ALC-CONT-17/2019,Obras fabrica Tabacos-EDUSI-FEDER,URBANISMO,Obras,Ordinario,2019-12-17 00:00:00,2019-11-28,0.0,Ampliación del plazo de ejecución del contrato hasta el 14/12/2019
5,ALC-CONT-112/18,Accesibilidad plaza Cruz Roja,URBANISMO,Obras,Ordinario,2019-12-17 00:00:00,2019-12-19,19311.54,Introducción de precios nuevos que afectan aunidades de obras que en su conjunto exceden del 3% del presupuesto primitivo delmismo.
6,81/18,Traslado Torre Placia,SERVICIO DE GESTIÓN PATRIMONIAL,Obras,Ordinario,2020-03-17 00:00:00,2020-01-13,0.0,Ampliación del plazo de ejecución debido a un retraso en las autorizaciones preceptivas para las investigaciones arqueológicas. Ampliación plazo hasta el 14/02/2020. Convalidación de lo actuado
7,ALC-CONT-114/18,INSTALACIONES CIUDAD DEPORTIVA (IFS 2018): Lote 2,"SERVICIO DE INFRAESTRUCTURAS, MANTENIMIENTO, PLAZA DE TOROS",Obras,Ordinario,2019-08-13 00:00:00,2020-01-14,0.0,Ampliación del plazo de ejecución del contrato en 28 días naturales.
8,ALC-CONT-124/18,Acondicionamiento entorno de La Isleta,URBANISMO,Obras,Ordinario,2019-11-05 00:00:00,2020-01-14,0.0,Ampliación del plazo de ejecución del contrato hasta el 4/12/2019
9,ALC-CONT-16/2019,Mejora accesibilidad C/ Poeta Zorrilla,URBANISMO,Obras,Ordinario,2019-12-17 00:00:00,2020-01-21,0.0,Ampliación plazo de ejecución de las obras en 15 días
10,,,,,,,,,
11,,,,,Page 1 / 1,,,,
