,Num. Exp,Objeto Contrato,Organismo,Tipo de Contrato,Tipo Tramitación,Importe,Estado,Causa
0,ALC-CONT-85/18,"Enajenación de forma individual de los bienes de propiedad municipal (plazas de garaje y trasteros) que se identifican a continuación, mediante contratos de compraventa: 1. Plaza de garaje para moto en la Glorieta del Poeta Vicente Mojica nº 16. 2. Plaza de garaje en la calle Arturo nº 19 3. Plaza de garaje y trastero en la calle Capitán Amador nº 9. 4. Plaza de garaje en la calle Cuenca nº 28-30-32 5. Plaza de garaje n.º 12 y trastero en la calle Pérez-Medina nº 12-14 6. Plaza de garaje n.º 22 y trastero en la calle Pérez-Medina nº 12-14 7. Plaza de garaje en Avenida de Denia nº 45. 8. Plaza de garaje y trastero en la calle Pi i Margall nº 11 de San Vicente del Raspeig. 9. Plaza de garaje en la calle Polop nº 2 de El Campello.",NaN,Privado,Ordinario,84116.99,Desierto,NaN
1,Alc-cont 65/18,"Desarrollo de las aplicaciones informáticas necesarias para realizar las reservas de acceso al castillo de Santa Bárbara ( acceso por ascensor, acceso por autobús ), las de gestión de eventos y las visitas guiadas",NaN,Servicios,Ordinario,24930.0,Desierto,NaN
2,ALC-CONT-95/18,"Proceso de reingeniería de un programa desarrollado de Powerbuilder (trípticos) y el desarrollo de una nueva aplicación (deficiencias) para la Policía Local del Ayuntamiento de Alicantey proceso de reingeniería de un programa desarrollado con Powerbuilder (multas de tráfico), desarrollo de una aplicación móvil para la Policía Local del Ayuntamiento de Alicante y el desarrollo de una aplicación Web para el ciudadano.  LOTE 1.- Constituye el objeto del contrato, la realización de un proceso de reingeniería de un programa desarrollado con PowerBuilder (Trípticos) y el desarrollo de una nueva aplicación (Deficiencias) para la Policía Local del Ayuntamiento de Alicante.  LOTE 2.- Constituye el objeto del contrato, la realización de un proceso de reingeniería de un programa desarrollado con PowerBuilder (multas de tráfico) y el desarrollo de una aplicación móvil para la Policía Local de Alicante y el desarrollo de una aplicación Web para el ciudadano.",NaN,Servicios,Ordinario,127197.0,Desierto,NaN
3,ALC-CONT-9/19,Suministro de material de oficina 2019 para el Excmo. Ayuntamiento de Alicante.                   Lote 1: Suministro de papel de oficina para los diferentes servicios y dependencias.,NaN,Suministros,Ordinario,30057.61,Desierto,NaN
4,ALC-CONT-01/19,Suministro de trabajos de imprenta y productos relacionados para el servicio centralizado del Excmo. Ayuntamiento de Alicante para el año 2019,NaN,Suministros,Ordinario,33693.66,Desierto,NaN
5,56/18,Explotación Integral de la Señalización Vertical y Horizontal de la Ciudad de Alicante. Lote 1. Señalización Vertical  Lote 2. Señalización Horizontal ,NaN,Servicios,Urgente,5301168.68,Desistido,NaN
6,41/19,Prestación de los diferentes servicios deportivos municipales y cursos de actividades acuáticas del Ayuntamiento de Alicante.,NaN,Servicios,Ordinario,337369.18,Desistido,NaN
7,92/19,"Servicio de consultoría para las actuaciones del proyecto de ""Dinamización de acciones de compra pública innovadora y de prospectiva innovadora en el Ayuntamiento de Alicante para los ejercicios 2019 y 2020""",NaN,Servicios,Ordinario,24590.0,Desierto,NaN
8,28/19,Suministro de material para los trabajos de mantenimiento de la Concejalía de Infraestructuras (4 lotes). Lote 4,NaN,Suministros,Ordinario,0.0,Desierto,NaN
9,28/19,Suministro de material para los trabajos de mantenimiento de la Concejalía de Infraestructuras (4 lotes). Lote 2,NaN,Suministros,Ordinario,0.0,Desierto,NaN
10,28/19,Suministro de material para los trabajos de mantenimiento de la Concejalía de Infraestructuras (4 lotes). Lote 1,NaN,Suministros,Ordinario,0.0,Desierto,NaN
11,75/19,"Servicio de organización y desarrollo de espectáculos que se celebrarán con motivo del ""Sábado Ramblero"" en la Avda. Rambla Méndez Núñez y de la fiesta de Fin de Año en la Plaza del Ayuntamiento 2.020 y 2.021. Lote B.",NaN,Privado,Ordinario,0.0,Desierto,NaN
12,73/19,Suministro de material informático para la equipación de las unidades operativas y dependencias de la Policía Local. Lote 4.,NaN,Suministros,Ordinario,0.0,Desierto,NaN
13,70/19,Servicio de gestión y ejecución de las actividades de prevención de conductas adictivas en el ámbito escolar. Lote 5: Consumo de alcohol y Primeros Auxilios,NaN,Servicios,Ordinario,0.0,Desierto,NaN
14,70/19,Servicio de gestión y ejecución de las actividades de prevención de conductas adictivas en el ámbito escolar. Lote 2:  Representaciones de 3 cuentos con el objetivo de desarrollo de la identidad personal,NaN,Servicios,Ordinario,0.0,Desierto,NaN
15,43/19,"Prestación servicio bar-cafetería Mercadillo Municipal ""José Manuel Gosálbez""",NaN,Contrato administrativo especial,Ordinario,0.0,Desierto,NaN
16,65/19,"Proyecto de construcción paseo litoral de Alicante, tramo promontorio Finca Adoc-Playa Albufereta.",NaN,Obras,Ordinario,0.0,Desierto,NaN
17,34/19,Servicio de telecomunicaciones del Ayuntamiento de Alicante,NaN,Servicios,Ordinario,4094794.56,Desistido,NaN
