,Num. Exp,Objeto Contrato,Organismo,Tipo de Contrato,Tipo Tramitación,Importe,Estado,Causa
0,92/19,"Servicio de consultoría para las actuaciones del proyecto de ""Dinamización de acciones de compra pública innovadora y de prospectiva innovadora en el Ayuntamiento de Alicante para los ejercicios 2019 y 2020""",NaN,Servicios,Ordinario,24590.0,Desierto,NaN
1,04/20,Servicio de compra de la publicidad en medios de comunicación audiovisual para la difusión de publicidad institucional del Ayuntamiento de Alicante,NaN,Servicios,Ordinario,700000.0,Desistido,NaN
2,43/19,"Prestación servicio bar-cafetería Mercadillo Municipal ""José Manuel Gosálbez""",NaN,Contrato administrativo especial,Ordinario,28767.76,Desierto,NaN
3,5/20,Servicio de limpieza de centros escolares y dependencias municipales de la ciudad de Alicante.,NaN,Servicios,Ordinario,37869801.6,Desistido,NaN
4,33/20,"Enajenación de parcela municipal sita en la calle del Pozo, número 11, de Alicante",NaN,Privado,Ordinario,290897.21,Desierto,NaN
5,93/19,"Suministro y reparto de rollos de anís y mistela en la tradicional ""paraeta"" municipal con motivo de la celebración de la Romería de Santa Faz 2020-2022",NaN,Suministros,Ordinario,36000.0,Desierto,NaN
6,105/19,"Contratación de la redacción del proyecto de ejecución material y ejecución de las obras de conexión, urbanización e instalaciones auxiliares del nuevo Cementerio de Alicante.",NaN,Obras,Urgente,1432428.0,Desierto,NaN
7,128/19,"Ejecución del Proyecto de ""Acondicionamiento y rehabilitación de varias instalaciones deportivas en el término municipal de Alicante. 2 lotes"".  Inversiones financieramente sostenibles 2018.",NaN,Obras,Ordinario,1041616.04,Lote 1 Desierto,NaN
8,63/19,Contratación pólizas de seguro 2020-2021 para el Excmo. Ayuntamiento de Alicante.,NaN,Servicios,Ordinario,16800.0,Lote 11 Desierto,NaN
9,121/19,"Servicios de ejecución del ""Proyecto de intervención y mediación con la población de etnia gitana en barrios de la Zona Norte y Cementerio""",NaN,Servicios,Ordinario,20939.77,Lote 1 Desierto,NaN
10,25/20,Concesion demanial para la adjudicación por lotes de la explotación para la venta de productos alimenticios artesanos de dos quioscos sitos en la fachada del mercado central de Alicante,NaN,Contrato administrativo especial,Ordinario,32849.16,Lote 1 Desierto,NaN
