,Num. Exp,Objeto Contrato,Organismo,Tipo de Contrato,Tipo Tramitación,Fecha Aprobación,Fecha Inicio,Fecha Fin Prórroga,Importe,Razón Social Adjudicatario/Contratista
0,"87/2017
", EXPLOTACIÓN DE UN BAR-CAFETERÍA SITUADO EN EL RECINTO DEL PARQUE TEMÁTICO DEL MONTE TOSSAL (ALICANTE). ,ATENCIÓN URBANA ,Especiales ,"Ordinaria
","28/07/2017
","26/11/2017
","27/11/2019
","11.999,56
","AZNAR HURTADO, ALBERTO
"
1,"11/2015
", SERVICIO MUNICIPAL DE ESTANCIAS DIURNAS ,ACCIÓN SOCIAL ,Gestión de Servicios públicos ,"Ordinaria
","27/12/2011
","01/01/2012
","31/12/2013
","690.578,44
","Alfis 31, S.L. 
"
2,"11/2015
", SERVICIO MUNICIPAL DE ESTANCIAS DIURNAS ,ACCIÓN SOCIAL ,Gestión de Servicios públicos ,"Ordinaria
","23/12/2013
","01/01/2014
","31/12/2015
", ,"Alfis 31, S.L. 
"
3,"11/2015
", SERVICIO MUNICIPAL DE ESTANCIAS DIURNAS ,ACCIÓN SOCIAL ,Gestión de Servicios públicos ,"Ordinaria
","24/11/2015
","01/01/2016
","31/12/2016
","359.643,66
","Alfis 31, S.L. 
"
4,"11/2015
", SERVICIO MUNICIPAL DE ESTANCIAS DIURNAS ,ACCIÓN SOCIAL ,Gestión de Servicios públicos ,"Ordinaria
","26/07/2016
","01/01/2017
","31/12/2017
","36,25
","Alfis 31, S.L. 
"
5,"11/2015
", SERVICIO MUNICIPAL DE ESTANCIAS DIURNAS ,ACCIÓN SOCIAL ,Gestión de Servicios públicos ,"Ordinaria
","05/09/2017
","01/01/2018
","31/12/2018
","359.643,66
","Alfis 31, S.L. 
"
6,"68/2016
"," CONSERVACIÓN Y EXPLOTACIÓN DE UNA ESTACIÓN PROVISONAL DE AUTOBUSES, MEDIANTE CONCESIÓN ","TRÁFICO, TRANSPORTES Y COMUNICACIONES ",Gestión de Servicios públicos ,"Ordinaria
","10/08/2016
","18/08/2017
","17/08/2018
","52.005,00
","AUTOMÓVILES LA ALCOYANA, S.A. y GRUPO ENATCAR, S.A. Unión Temporal de Empresas
"
7,"68/2016
"," CONSERVACIÓN Y EXPLOTACIÓN DE UNA ESTACIÓN PROVISONAL DE AUTOBUSES, MEDIANTE CONCESIÓN ","TRÁFICO, TRANSPORTES Y COMUNICACIONES ",Gestión de Servicios públicos ,"Ordinaria
","20/06/2017
","18/08/2016
","17/08/2017
","52.005,00
","AUTOMÓVILES LA ALCOYANA, S.A. y GRUPO ENATCAR, S.A. Unión Temporal de Empresas
"
8,"106/2016
", SERVICIO DE CONSERVACIÓN YMANTENIMIENTO DE LAS ZONAS VERDES DE LA CIUDAD DE ALICANTE ,ATENCIÓN URBANA ,Servicios ,"Urgente
","12/07/2016
","14/07/2016
","13/07/2017
","4.470.070,68
","GESTION AMBIENTAL URBANA, S.L.U.
"
9,"106/2016
", SERVICIO DE CONSERVACIÓN YMANTENIMIENTO DE LAS ZONAS VERDES DE LA CIUDAD DE ALICANTE ,ATENCIÓN URBANA ,Servicios ,"Urgente
","20/06/2017
","14/07/2017
","13/07/2018
","4.470.070,68
","GESTION AMBIENTAL URBANA, S.L.U.
"
