,Num. Exp,Objeto Contrato,Organismo,Tipo de Contrato,Tipo Tramitación,Fecha Aprobación,Fecha Inicio,Fecha Fin Prórroga,Importe,Razón Social Adjudicatario/Contratista
0,"11/2015
", SERVICIO MUNICIPAL DE ESTANCIAS DIURNAS ,ACCIÓN SOCIAL ,Gestión de Servicios públicos ,"Ordinaria
","27/12/2011
","01/01/2012
","31/12/2013
","690.578,44
","Alfis 31, S.L. 
"
1,"11/2015
", SERVICIO MUNICIPAL DE ESTANCIAS DIURNAS ,ACCIÓN SOCIAL ,Gestión de Servicios públicos ,"Ordinaria
","23/12/2013
","01/01/2014
","31/12/2015
", ,"Alfis 31, S.L. 
"
2,"11/2015
", SERVICIO MUNICIPAL DE ESTANCIAS DIURNAS ,ACCIÓN SOCIAL ,Gestión de Servicios públicos ,"Ordinaria
","24/11/2015
","01/01/2016
","31/12/2016
","359.643,66
","Alfis 31, S.L. 
"
3,"11/2015
", SERVICIO MUNICIPAL DE ESTANCIAS DIURNAS ,ACCIÓN SOCIAL ,Gestión de Servicios públicos ,"Ordinaria
","26/07/2016
","01/01/2017
","31/12/2017
","36,25
","Alfis 31, S.L. 
"
4,"1/2016
"," EXPLOTACIÓN DEL SERVICIO DE BAR-CAFETERÍA EN EL MERCADILLO MUNICIPAL QUE SE INSTALA EN LOS SOLARES SITOS EN LA GRAN VÍA, CALLE TEULADA Y CAMPO DE MIRRA (CONCESIÓN ADMINISTRATIVA) ","COMERCIO, MERCADOS, SANIDAD Y CONSUMO ",Especiales ,"Ordinaria
","27/03/2013
","01/04/2013
","31/03/2016
","26.920,00
","Pedro Merlos Pérez
"
5,"1/2016
"," EXPLOTACIÓN DEL SERVICIO DE BAR-CAFETERÍA EN EL MERCADILLO MUNICIPAL QUE SE INSTALA EN LOS SOLARES SITOS EN LA GRAN VÍA, CALLE TEULADA Y CAMPO DE MIRRA (CONCESIÓN ADMINISTRATIVA) ","COMERCIO, MERCADOS, SANIDAD Y CONSUMO ",Especiales ,"Ordinaria
","26/01/2016
","01/04/2016
","31/03/2019
","27.373,00
","Pedro Merlos Pérez
"
6,"9/2015
", APROVECHAMIENTO ADICIONAL DE LAS FAROLAS DE ALUMBRADO PÚBLICO CON FINES PUBLICITARIOS ,OCUPACIÓN VÍA PÚBLICA Y CONSERVACIÓN DE INMUEBLES ,Especiales ,"Ordinaria
","10/02/2015
","12/05/2015
","11/05/2016
","26.486,96
","Makroprint Impresión Digital, S.L.N.E.
"
7,"9/2015
", APROVECHAMIENTO ADICIONAL DE LAS FAROLAS DE ALUMBRADO PÚBLICO CON FINES PUBLICITARIOS ,OCUPACIÓN VÍA PÚBLICA Y CONSERVACIÓN DE INMUEBLES ,Especiales ,"Ordinaria
","03/05/2016
","12/05/2016
","11/05/2016
", ,"Makroprint Impresión Digital, S.L.N.E.
"
8,"2/2016
", SERVICIO DE ASISTENCIA Y SALVAMENTO EN LAS PLAYAS DE ALICANTE ,PATRONATO DE TURISMO ,Servicios ,"Ordinaria
","14/06/2016
","07/07/2016
","06/07/2016
", ,"PRO-ACTIVA SERVEIS AQUÀTICS, S.L. 
"
9,"68/2016
"," CONSERVACIÓN Y EXPLOTACIÓN DE UNA ESTACIÓN PROVISONAL DE AUTOBUSES, MEDIANTE CONCESIÓN ","TRÁFICO, TRANSPORTES Y COMUNICACIONES ",Gestión de Servicios públicos ,"Ordinaria
","10/08/2016
","18/08/2011
","17/08/2017
", ,"AUTOMÓVILES LA ALCOYANA, S.A. y GRUPO ENATCAR, S.A. Unión Temporal de Empresas
"
