,Num. Exp,Objeto Contrato,Organismo,Tipo de Contrato,Tipo Tramitación,Fecha Aprobación,Fecha Inicio,Fecha Fin Prórroga,Importe,Razón Social Adjudicatario/Contratista
0,"8/2018
", SERVICIO DE GESTIÓN Y EJECUCIÓN DE LAS ACTIVIDADES DE PREVENCIÓN DE CONDUCTAS ADICTIVAS EN EL ÁMBITO ESCOLAR PARA EL AÑO 2018 DIVIDIDO EN SIETE LOTES ,EDUCACIÓN ,Servicios ,"Anticipada
","13/11/2018
","08/01/2019
","15/12/2019
","22.170,73
","IMAGINA ESENCIA COOP V.
"
1,"8/2018
", SERVICIO DE GESTIÓN Y EJECUCIÓN DE LAS ACTIVIDADES DE PREVENCIÓN DE CONDUCTAS ADICTIVAS EN EL ÁMBITO ESCOLAR PARA EL AÑO 2018 DIVIDIDO EN SIETE LOTES ,EDUCACIÓN ,Servicios ,"Anticipada
","13/11/2018
","08/01/2019
","15/12/2019
","11.704,10
","IMAGINA ESENCIA COOP V.
"
2,"8/2018
", SERVICIO DE GESTIÓN Y EJECUCIÓN DE LAS ACTIVIDADES DE PREVENCIÓN DE CONDUCTAS ADICTIVAS EN EL ÁMBITO ESCOLAR PARA EL AÑO 2018 DIVIDIDO EN SIETE LOTES ,EDUCACIÓN ,Servicios ,"Anticipada
","13/11/2018
","08/01/2019
","15/12/2019
","14.506,85
","IMAGINA ESENCIA COOP V.
"
3,"8/2018
", SERVICIO DE GESTIÓN Y EJECUCIÓN DE LAS ACTIVIDADES DE PREVENCIÓN DE CONDUCTAS ADICTIVAS EN EL ÁMBITO ESCOLAR PARA EL AÑO 2018 DIVIDIDO EN SIETE LOTES ,EDUCACIÓN ,Servicios ,"Anticipada
","13/11/2018
","08/01/2019
","15/12/2019
","1.380,00
","IMAGINA ESENCIA COOP V.
"
4,"8/2018
", SERVICIO DE GESTIÓN Y EJECUCIÓN DE LAS ACTIVIDADES DE PREVENCIÓN DE CONDUCTAS ADICTIVAS EN EL ÁMBITO ESCOLAR PARA EL AÑO 2018 DIVIDIDO EN SIETE LOTES ,EDUCACIÓN ,Servicios ,"Anticipada
","13/11/2018
","08/01/2019
","15/12/2019
","4.080,00
","IMAGINA ESENCIA COOP V.
"
5,"8/2018
", SERVICIO DE GESTIÓN Y EJECUCIÓN DE LAS ACTIVIDADES DE PREVENCIÓN DE CONDUCTAS ADICTIVAS EN EL ÁMBITO ESCOLAR PARA EL AÑO 2018 DIVIDIDO EN SIETE LOTES ,EDUCACIÓN ,Servicios ,"Anticipada
","13/11/2018
","08/01/2019
","15/12/2019
","8.500,00
","IMAGINA ESENCIA COOP V.
"
6,"49/2018
", EXPLOTACIÓN DE UNA HELADERÍA  A INSTALAR EN EL QUIOSCO UBICADO EN LA ZONA CENTRAL DEL PORTAL DE ELCHE ,SERVICIO DE FIESTAS Y OCUPACIÓN DE VÍA PÚBLICA ,Especiales ,"Ordinaria
","11/04/2017
","01/05/2017
","30/04/2018
","10.765,72
","HERGA  HOSTELERÍA,S.L.
"
7,"49/2018
", EXPLOTACIÓN DE UNA HELADERÍA  A INSTALAR EN EL QUIOSCO UBICADO EN LA ZONA CENTRAL DEL PORTAL DE ELCHE ,SERVICIO DE FIESTAS Y OCUPACIÓN DE VÍA PÚBLICA ,Especiales ,"Ordinaria
","09/02/2018
","01/05/2018
","30/04/2020
","22.330,72
","HERGA  HOSTELERÍA,S.L.
"
8,"14/2015
"," SUMINISTRO DE VESTUARIO, UNIFORMES Y ACCESORIOS PARA EL PERSONAL DEL CUERPO DE LA POLICÍA LOCAL  SUSCRIPPCIÓN DE PÓLIZAS DE SEGUROS PARA EL EXCMO. AYUNTAMIENTO DIVIDIDO EN TRES LOTES: LOTE 1 SEGURO DE DAÑOS MATERIALES LOTE 2: SEGURO FLOTA DE AUTÓMÓVILES LOTE 3: SEGURO COLECTIVO DE ACCIDENTES ",ECONOMÍA Y HACIENDA ,Servicios ,"Ordinaria
","03/10/2017
","01/01/2018
","31/12/2018
","256.830,97
","EL CORTE INGLÉS, S.A.
"
9,"14/2015
"," SUMINISTRO DE VESTUARIO, UNIFORMES Y ACCESORIOS PARA EL PERSONAL DEL CUERPO DE LA POLICÍA LOCAL  SUSCRIPPCIÓN DE PÓLIZAS DE SEGUROS PARA EL EXCMO. AYUNTAMIENTO DIVIDIDO EN TRES LOTES: LOTE 1 SEGURO DE DAÑOS MATERIALES LOTE 2: SEGURO FLOTA DE AUTÓMÓVILES LOTE 3: SEGURO COLECTIVO DE ACCIDENTES ",ECONOMÍA Y HACIENDA ,Servicios ,"Ordinaria
","23/10/2018
","01/01/2019
","31/12/2019
","256.830,97
","EL CORTE INGLÉS, S.A.
"
10,"14/2015
"," SUMINISTRO DE VESTUARIO, UNIFORMES Y ACCESORIOS PARA EL PERSONAL DEL CUERPO DE LA POLICÍA LOCAL  SUSCRIPPCIÓN DE PÓLIZAS DE SEGUROS PARA EL EXCMO. AYUNTAMIENTO DIVIDIDO EN TRES LOTES: LOTE 1 SEGURO DE DAÑOS MATERIALES LOTE 2: SEGURO FLOTA DE AUTÓMÓVILES LOTE 3: SEGURO COLECTIVO DE ACCIDENTES ",ECONOMÍA Y HACIENDA ,Servicios ,"Ordinaria
","25/07/2016
","30/11/2017
","29/11/2018
","134.900,00
","EL CORTE INGLÉS, S.A.
"
11,"14/2015
"," SUMINISTRO DE VESTUARIO, UNIFORMES Y ACCESORIOS PARA EL PERSONAL DEL CUERPO DE LA POLICÍA LOCAL  SUSCRIPPCIÓN DE PÓLIZAS DE SEGUROS PARA EL EXCMO. AYUNTAMIENTO DIVIDIDO EN TRES LOTES: LOTE 1 SEGURO DE DAÑOS MATERIALES LOTE 2: SEGURO FLOTA DE AUTÓMÓVILES LOTE 3: SEGURO COLECTIVO DE ACCIDENTES ",ECONOMÍA Y HACIENDA ,Servicios ,"Ordinaria
","29/08/2017
","30/11/2017
","29/11/2018
","131.658,57
","EL CORTE INGLÉS, S.A.
"
